URL,443
https://desarrolloyempleo.cba.gov.ar/cy.html,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.html,X,
https://desarrolloyempleo.cba.gov.ar/cxf.xml,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC.xml,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W.js,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.html,X,
https://desarrolloyempleo.cba.gov.ar/cy.txt,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.txt,X,
https://desarrolloyempleo.cba.gov.ar/cxf.js,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/Video.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC1,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC.js,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.txt,X,
https://desarrolloyempleo.cba.gov.ar/cy.json,X,
https://desarrolloyempleo.cba.gov.ar/cxf.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC2,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.json,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC1.php,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC.css,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.json,X,
https://desarrolloyempleo.cba.gov.ar/cy.xml,X,
https://desarrolloyempleo.cba.gov.ar/cz,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC2.php,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.xml,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3.php,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.xml,X,
https://desarrolloyempleo.cba.gov.ar/czcmdcvt,X,
https://desarrolloyempleo.cba.gov.ar/cy.js,X,
https://desarrolloyempleo.cba.gov.ar/cz.php,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC1.html,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/WEB-INF,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC2.html,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3.html,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.js,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.js,X,
